population,individual,sex,species,sequenced?,egg diameter.1,egg diameter.2,egg diameter.3,egg diameter.4,egg diameter.5,egg diameter.6,egg diameter.7,egg diameter.8,egg diameter.9,egg diameter.10,teste length.1,teste length.2,teste width.1,teste width.2,weight (mg),note,std.length,depth.1,membership
MR,50,,C,,,,,,,,,,,,,,,,,,3.7953481115,0.8227043741,
MR,51,,C,,,,,,,,,,,,,,,,,,5.2657529138,1.1708438228,
MR,52,,C,,,,,,,,,,,,,,,,,,3.4766749479,0.737820978,
MR,53,F,C,1,,,,,,,,,,,,,,,,,5.9595282392,1.2694705339,1
MR,54,,C,,,,,,,,,,,,,,,,,,3.7879134935,0.7815487157,
MR,55,,C,,,,,,,,,,,,,,,,,,4.9813478995,1.029010988,
MR,56,,C,,,,,,,,,,,,,,,,,,4.9643204191,1.1139911089,
MR,57,M,C,1,,,,,,,,,,,,,,,,,5.6604641664,1.2579323069,1
MR,58,M,C,1,,,,,,,,,,,,,,,,,5.5532838354,1.2535075385,1
MR,59,,C,,,,,,,,,,,,,,,,,,5.1998957849,1.1267363312,
MR,60,,C,,,,,,,,,,,,,,,,,,4.2243239437,0.9577464789,
MR,61,,C,,,,,,,,,,,,,,,,,,3.6563061858,0.8028621591,
MR,62,,C,,,,,,,,,,,,,,,,,,3.2860235753,0.7551119335,
MR,63,,C,,,,,,,,,,,,,,,,,,4.337960913,0.9719152447,
MR,64,,C,,,,,,,,,,,,,,,,,,3.3802113407,0.683176776,
MR,65,,C,,,,,,,,,,,,,,,,,,4.0283896714,0.8880234742,
MR,66,,C,,,,,,,,,,,,,,,,,,4.7066059066,0.9300738911,
MR,67,,C,,,,,,,,,,,,,,,,,,4.7142981221,0.9859413146,
MR,68,,C,,,,,,,,,,,,,,,,,,4.5557302292,0.9503559009,
MR,69,,C,,,,,,,,,,,,,,,,,,3.7306837093,0.8181017243,
PP,1,,W,1,,,,,,,,,,,,,,,,,3.9276231263,0.6423982869,
PP2014,1,,W,,,,,,,,,,,,,,,,,,3.6782132926,0.8140126436,
PP2014,2,,W,,,,,,,,,,,,,,,,,,3.6453069283,0.8244313167,
PP2014,3,,W,,,,,,,,,,,,,,,,,,3.9696567993,0.9415956206,
PP2014,4,,W,,,,,,,,,,,,,,,,,,4.232435149,0.9484980864,
PP2014,5,,W,,,,,,,,,,,,,,,,,,4.0862230769,0.9416076923,
PP2014,6,,W,,,,,,,,,,,,,,,,,,3.3629149485,0.8041907216,
PP2014,7,,W,,,,,,,,,,,,,,,,,,3.7279546352,0.8397388241,
PP2014,8,,W,,,,,,,,,,,,,,,,,,4.3094035804,0.9222767912,
PP2014,9,,W,,,,,,,,,,,,,,,,,,4.1641747998,0.9859758453,
PP2014,10,,W,,,,,,,,,,,,,,,,,,3.9588518096,0.8700632043,
PP2014,11,,W,,,,,,,,,,,,,,,,,,3.8363680181,0.8746429908,
PP2014,12,,W,,,,,,,,,,,,,,,,,,3.8631071429,0.903119898,
PP2014,13,,W,,,,,,,,,,,,,,,,,,4.0732902927,0.9123748405,
PP2014,14,,W,,,,,,,,,,,,,,,,,,3.5327957334,0.8932988039,
PP2014,15,,W,,,,,,,,,,,,,,,,,,3.6211726804,0.8041391753,
PP2014,16,,W,,,,,,,,,,,,,,,,,,4.1168264249,0.9171580311,
PP2014,17,,W,,,,,,,,,,,,,,,,,,3.9766422834,0.9538512029,
PP2014,18,,W,,,,,,,,,,,,,,,,,,5.2037973872,1.1950667299,
PP2014,19,,W,,,,,,,,,,,,,,,,,,4.2884757888,0.9560082563,
PP2014,20,,W,,,,,,,,,,,,,,,,,,3.9069282051,0.8874153846,
PP2014,21,,W,,,,,,,,,,,,,,,,,,4.1513552102,0.9404826027,
PP2014,22,,W,,,,,,,,,,,,,,,,,,4.0009717425,0.9190582046,
PP2014,23,,W,,,,,,,,,,,,,,,,,,4.1416760093,0.9022847644,
PP2014,24,,W,,,,,,,,,,,,,,,,,,3.7998487179,0.8822897436,
PP2014,25,,W,,,,,,,,,,,,,,,,,,4.2542196446,0.9794472605,
PP2014,26,,W,,,,,,,,,,,,,,,,,,3.7538057204,0.882411764,
PP2014,27,,W,,,,,,,,,,,,,,,,,,3.4716150565,0.7889202459,
PP2014,28,,W,,,,,,,,,,,,,,,,,,3.6666222228,0.8667914514,
PP2014,29,,W,,,,,,,,,,,,,,,,,,3.8055768516,0.9242189203,
PP2014,30,,W,,,,,,,,,,,,,,,,,,4.0906972848,0.9124908184,
PP2014,31,,W,,,,,,,,,,,,,,,,,,3.8817216495,0.8866134021,
PP2014,32,,W,,,,,,,,,,,,,,,,,,4.051702942,0.9695519388,
PP2014,33,,W,,,,,,,,,,,,,,,,,,4.015199229,0.9103972209,
PP2014,34,,W,,,,,,,,,,,,,,,,,,4.059676158,0.9129395777,
PP2014,35,,W,,,,,,,,,,,,,,,,,,3.9031333333,0.8719307692,
PP2014,36,,W,,,,,,,,,,,,,,,,,,3.8780964347,0.8798451302,
PP2014,37,,W,,,,,,,,,,,,,,,,,,4.3830025641,0.9615692308,
PP2014,38,,W,,,,,,,,,,,,,,,,,,4.223973607,1.0151139183,
PP2014,39,,W,,,,,,,,,,,,,,,,,,5.4660415918,1.3256245366,
PP2014,40,,W,,,,,,,,,,,,,,,,,,4.5900627056,1.0388945012,
PP2014,41,,W,,,,,,,,,,,,,,,,,,4.374984185,0.9450568177,
PP2014,42,,W,,,,,,,,,,,,,,,,,,4.2263471878,0.9689985971,
PP2014,43,,W,,,,,,,,,,,,,,,,,,4.2242196953,0.9382421098,
PP2014,44,,W,,,,,,,,,,,,,,,,,,4.1308086947,0.9604697712,
PP2014,45,,W,,,,,,,,,,,,,,,,,,4.1670213257,0.9384764874,
PP2014,46,,W,,,,,,,,,,,,,,,,,,3.784043207,0.8989536785,
PQ2014,1,,C,,,,,,,,,,,,,,,,,,5.0492019465,1.1898029197,
PQ2014,2,,C,,,,,,,,,,,,,,,,,,5.4379663805,1.3065538392,
PQ2014,3,,C,,,,,,,,,,,,,,,,,,4.8364822257,1.1473491889,
PQ2014,4,,C,,,,,,,,,,,,,,,,,,6.0544901961,1.4117647059,
PQ2014,5,,C,,,,,,,,,,,,,,,,,,3.9416739659,0.9350194647,
PQ2014,6,,C,,,,,,,,,,,,,,,,,,3.2856663336,0.7825097924,
PQ2014,7,,C,,,,,,,,,,,,,,,,,,5.6785297664,1.3087657213,
PQ2014,8,,C,,,,,,,,,,,,,,,,,,3.4404122137,0.8455394402,
PQ2014,9,,C,,,,,,,,,,,,,,,,,,3.485656431,0.9081920006,
PQ2014,10,,C,,,,,,,,,,,,,,,,,,5.1329901235,1.1115061728,
PQ2014,11,,C,,,,,,,,,,,,,,,,,,4.1849188205,1.0079564976,
PQ2014,12,,C,,,,,,,,,,,,,,,,,,4.6572992128,1.0442378763,
PQ2014,13,,C,,,,,,,,,,,,,,,,,,3.3551948718,0.8231128205,
PQ2014,14,,C,,,,,,,,,,,,,,,,,,3.5170333333,0.8474128205,
PQ2014,15,,C,,,,,,,,,,,,,,,,,,3.6180206718,0.8992583979,
PQ2014,16,,C,,,,,,,,,,,,,,,,,,4.9195340322,1.1029359503,
PQ2014,17,,C,,,,,,,,,,,,,,,,,,5.2280526751,1.2281065952,
PQ2014,18,,C,,,,,,,,,,,,,,,,,,5.1447573529,1.1471519608,
PQ2014,19,,C,,,,,,,,,,,,,,,,,,4.9645547445,1.1252481752,
PQ2014,20,,C,,,,,,,,,,,,,,,,,,4.8254796051,1.0735141308,
PQ2014,21,,C,,,,,,,,,,,,,,,,,,4.6202279412,1.0811078431,
PQ2014,22,,C,,,,,,,,,,,,,,,,,,3.8411862446,0.8539887855,
PQ2014,23,,C,,,,,,,,,,,,,,,,,,5.3823970588,1.1691176471,
PQ2014,24,,C,,,,,,,,,,,,,,,,,,3.7894504751,0.9999128308,
PQ2014,25,,C,,,,,,,,,,,,,,,,,,4.6397915742,1.0073527429,
PQ2014,26,,C,,,,,,,,,,,,,,,,,,5.8127087906,1.3630074245,
PQ2014,27,,C,,,,,,,,,,,,,,,,,,4.6225204082,1.0869260204,
PQ2014,28,,C,,,,,,,,,,,,,,,,,,3.4769326922,0.8520911723,
PQ2014,29,,C,,,,,,,,,,,,,,,,,,5.2314901906,1.2022963466,
PQ2014,30,,C,,,,,,,,,,,,,,,,,,5.3027619834,1.2044826472,
PR,1,,B,,,,,,,,,,,,,,,,,,5.6126807512,1.3451431925,
PR,2,,B,,,,,,,,,,,,,,,,,,5.1205385741,1.1779535414,
PR,3,,B,,,,,,,,,,,,,,,,,,5.6639756413,1.327135701,
PR,4,,B,,,,,,,,,,,,,,,,,,4.5069380952,1.0643095238,
PR,5,,B,,,,,,,,,,,,,,,,,,5.1819716312,1.1844822695,
PR,6,,B,,,,,,,,,,,,,,,,,,4.3640070922,1.0073167849,
PR,7,,B,,,,,,,,,,,,,,,,,,5.1128538934,1.2678264176,
PR,8,,B,,,,,,,,,,,,,,,,,,4.8112255317,1.1339707191,
PR,9,,B,,,,,,,,,,,,,,,,,,5.454993007,1.2580606061,
PR,10,,B,,,,,,,,,,,,,,,,,,6.0511552588,1.3102477147,
PR,11,,B,,,,,,,,,,,,,,,,,,5.2336285714,1.1787666667,
PR,12,,B,,,,,,,,,,,,,,,,,,5.7054804721,1.3058738425,
PR,13,,B,,,,,,,,,,,,,,,,,,4.9740125854,1.2001590435,
PR,14,,B,,,,,,,,,,,,,,,,,,5.8050774648,1.353286385,
PR,15,,B,,,,,,,,,,,,,,,,,,5.429660267,1.2394844265,
PR,16,,B,,,,,,,,,,,,,,,,,,5.0600643826,1.0725792728,
PR,17,,B,,,,,,,,,,,,,,,,,,5.3519818573,1.2167433491,
PR,18,,B,,,,,,,,,,,,,,,,,,5.6430436884,1.2533169223,
PR,19,,B,,,,,,,,,,,,,,,,,,5.4541291187,1.2887765809,
PR,20,,B,,,,,,,,,,,,,,,,,,5.2126729565,1.2132521377,
PR,21,,B,,,,,,,,,,,,,,,,,,5.7751161355,1.359192603,
PR,22,,B,,,,,,,,,,,,,,,,,,5.0139550387,1.1762161071,
PR,23,,B,,,,,,,,,,,,,,,,,,5.5563072315,1.2397238569,
PR,24,,B,,,,,,,,,,,,,,,,,,4.9646193853,1.2272789598,
PR,25,,B,,,,,,,,,,,,,,,,,,6.0515419221,1.3720426097,
PR,26,,B,,,,,,,,,,,,,,,,,,5.9148828313,1.3343338927,
PR,27,,B,,,,,,,,,,,,,,,,,,5.220532248,1.2468535966,
PR,28,,B,,,,,,,,,,,,,,,,,,5.1149946073,1.2071969544,
PR,29,,B,,,,,,,,,,,,,,,,,,4.5992216163,1.0287457366,
PR,30,,B,,,,,,,,,,,,,,,,,,5.4051620407,1.3194195896,
PR,31,,B,,,,,,,,,,,,,,,,,,5.5632871876,1.2396336511,
PR,32,,B,,,,,,,,,,,,,,,,,,5.7904801865,1.3833613054,
PR,33,,B,,,,,,,,,,,,,,,,,,5.4012244403,1.3197597729,
PR,34,,B,,,,,,,,,,,,,,,,,,5.6617771169,1.3048738685,
PR,35,,B,,,,,,,,,,,,,,,,,,5.3121502751,1.2707376404,
PR,36,,B,,,,,,,,,,,,,,,,,,5.3308905169,1.3065085174,
PR,37,,B,,,,,,,,,,,,,,,,,,4.8262861757,1.0916126579,
PR,38,,B,,,,,,,,,,,,,,,,,,5.5005446009,1.2254319249,
PR,39,,B,,,,,,,,,,,,,,,,,,5.2841737089,1.2396173709,
PR,40,,B,,,,,,,,,,,,,,,,,,4.5743704064,1.0228244656,
PR,41,,B,,,,,,,,,,,,,,,,,,5.0363417846,1.170340672,
PR,42,,B,,,,,,,,,,,,,,,,,,5.7188945825,1.3254258693,
PR,43,,B,,,,,,,,,,,,,,,,,,4.4412367527,1.0569252336,
PR,44,,B,,,,,,,,,,,,,,,,,,5.0294349434,1.2787165098,
PR,45,,B,,,,,,,,,,,,,,,,,,5.6666800627,1.3125025118,
PR,46,,B,,,,,,,,,,,,,,,,,,4.2907406878,0.9216607633,
PR,47,,B,,,,,,,,,,,,,,,,,,6.0606256008,1.3574790372,
PR,48,,B,,,,,,,,,,,,,,,,,,6.2672446043,1.4562446043,
PR,49,,B,,,,,,,,,,,,,,,,,,5.3212939661,1.242905543,
PR,50,,B,,,,,,,,,,,,,,,,,,5.9790291207,1.4021656576,
PR,51,,B,,,,,,,,,,,,,,,,,,5.3561519272,1.265286982,
PR,52,,B,,,,,,,,,,,,,,,,,,5.0945760017,1.2446226577,
PR,53,,B,,,,,,,,,,,,,,,,,,5.8966843871,1.4070178529,
PR,54,,B,,,,,,,,,,,,,,,,,,5.283555274,1.2553668817,
PR,55,,B,,,,,,,,,,,,,,,,,,5.8651004347,1.3050086168,
PR,56,,B,,,,,,,,,,,,,,,,,,5.0643340293,1.2071326703,
PR,57,,B,,,,,,,,,,,,,,,,,,4.4640334442,0.9567520468,
PR,58,,B,,,,,,,,,,,,,,,,,,4.723184168,1.0812588791,
PR,59,,B,,,,,,,,,,,,,,,,,,5.830940142,1.3465409239,
PR,60,,B,,,,,,,,,,,,,,,,,,5.6225005535,1.35792526,
PR,61,,B,,,,,,,,,,,,,,,,,,5.3502455888,1.2788569823,
PR,62,,B,,,,,,,,,,,,,,,,,,5.5110945626,1.3269243499,
PR,63,,B,,,,,,,,,,,,,,,,,,5.51695,1.3288785714,
PR,64,,B,,,,,,,,,,,,,,,,,,5.990519882,1.3084406376,
PR,65,,B,,,,,,,,,,,,,,,,,,5.5360095238,1.2858928571,
PR,66,,B,,,,,,,,,,,,,,,,,,5.144899061,1.2327159624,
PR,67,,B,,,,,,,,,,,,,,,,,,5.2754869238,1.1907722713,
PR,68,,B,,,,,,,,,,,,,,,,,,4.2599312875,1.0071426701,
PR,69,,B,,,,,,,,,,,,,,,,,,5.5642389516,1.2328648791,
PR,70,,B,,,,,,,,,,,,,,,,,,4.8298636716,1.0850681642,
PR,71,,B,,,,,,,,,,,,,,,,,,4.5492276021,0.9789489004,
PR,72,,B,,,,,,,,,,,,,,,,,,4.5065773456,1.0424708599,
PR,73,,B,,,,,,,,,,,,,,,,,,4.7938601986,1.1354330411,
PR,74,,B,,,,,,,,,,,,,,,,,,5.9817600015,1.3800329039,
PR,75,,B,,,,,,,,,,,,,,,,,,5.3332371971,1.1987395127,
PR,76,,B,,,,,,,,,,,,,,,,,,5.2560094364,1.2410298717,
PR,77,,B,,,,,,,,,,,,,,,,,,5.8428559949,1.3047464405,
PR,78,,B,,,,,,,,,,,,,,,,,,5.5236092991,1.3478832227,
PR,79,,B,,,,,,,,,,,,,,,,,,5.5243013122,1.2764848963,
PR,80,,B,,,,,,,,,,,,,,,,,,6.2214656283,1.4571213611,
PR,81,,B,,,,,,,,,,,,,,,,,,5.3549905437,1.248248227,
PR,82,,B,,,,,,,,,,,,,,,,,,4.7384268766,1.1196681491,
PR,83,,B,,,,,,,,,,,,,,,,,,5.7700753824,1.2482820895,
PR,84,,B,,,,,,,,,,,,,,,,,,5.0942229191,1.1904434393,
PR,85,,B,,,,,,,,,,,,,,,,,,4.848247619,1.1500214286,
PR,86,,B,,,,,,,,,,,,,,,,,,5.5525021964,1.2857591825,
PR,87,,B,,,,,,,,,,,,,,,,,,4.4832522086,1.0992858342,
PR,88,,B,,,,,,,,,,,,,,,,,,4.2906685642,1.0213493266,
PR,89,,B,,,,,,,,,,,,,,,,,,4.7513373345,1.1346364318,
PR,90,,B,,,,,,,,,,,,,,,,,,4.3214384331,1.0355752019,
PR,99,,B,,,,,,,,,,,,,,,,,,4.3403655039,0.9928598589,
RT,1,F,W,1,,,,,,,,,,,,,,,,,4.6251221037,1.0833082568,
RT,2,,W,,,,,,,,,,,,,,,,,,4.1163682247,0.9239656809,
RT,3,,W,,,,,,,,,,,,,,,,,,4.0772621741,0.8903550124,
RT,4,,W,,,,,,,,,,,,,,,,,,3.9993519929,0.9928626641,
RT,5,,W,,,,,,,,,,,,,,,,,,4.5315810912,1.0506787875,
RT,6,,W,,,,,,,,,,,,,,,,,,4.6224993837,1.1025926061,
RT,7,,W,,,,,,,,,,,,,,,,,,4.2856736111,1.0277777778,
RT,8,,W,,,,,,,,,,,,,,,,,,4.2535135258,1.0613977007,
RT,9,,W,,,,,,,,,,,,,,,,,,4.1242298851,1.0000942529,
RT,10,,W,,,,,,,,,,,,,,,,,,3.9944436782,0.9381586207,
RT,12,,W,,,,,,,,,,,,,,,,,,4.3194675926,0.9653773148,
RT,13,,W,,,,,,,,,,,,,,,,,,3.8773430496,0.8827659134,
RT,14,,W,,,,,,,,,,,,,,,,,,4.4528088795,1.0622688582,
RT,15,,W,,,,,,,,,,,,,,,,,,4.427946484,0.9862072136,
RT,16,,W,,,,,,,,,,,,,,,,,,3.7707386037,0.9730029195,
RT,17,,W,,,,,,,,,,,,,,,,,,4.3246385612,0.9656881433,
RT,18,,W,,,,,,,,,,,,,,,,,,4.8816291121,1.1937259982,
RT,19,,W,,,,,,,,,,,,,,,,,,4.3793366602,0.9516597286,
RT,20,M,W,1,,,,,,,,,,,,,,,,,4.2274890232,1.034458978,2
RT,21,M,W,1,,,,,,,,,,,,,,,,,4.1322487166,0.9652094009,2
RT,22,M,W,1,,,,,,,,,,,,,,,,,4.204170068,0.8911814059,2
RT,23,M,W,1,,,,,,,,,,,,,,,,,4.1653912011,1.0685555124,2
RT,24,,W,,,,,,,,,,,,,,,,,,4.2627691091,1.0205657181,
RT,25,,W,,,,,,,,,,,,,,,,,,4.7661272155,1.0898255213,
RT,26,,W,,,,,,,,,,,,,,,,,,4.0183896057,0.9804199451,
RT,27,,W,,,,,,,,,,,,,,,,,,4.449221857,1.0620445507,
RT,28,,W,,,,,,,,,,,,,,,,,,4.0106368064,0.8897063386,
RT,29,,W,,,,,,,,,,,,,,,,,,3.8806965828,0.9192535317,
RT,30,,W,,,,,,,,,,,,,,,,,,3.9411002046,0.9457115928,
RT,31,,W,,,,,,,,,,,,,,,,,,4.5698913532,1.0985205142,
RT,32,,W,,,,,,,,,,,,,,,,,,3.5701462621,0.933498222,
RT,33,,W,,,,,,,,,,,,,,,,,,4.1537285394,0.96534605,
RT,34,,W,,,,,,,,,,,,,,,,,,4.0208263889,0.9444699074,
RT,35,,W,,,,,,,,,,,,,,,,,,3.7035981735,0.8836689498,
RT,36,,W,,,,,,,,,,,,,,,,,,4.4163009977,1.0342457935,
RT,37,,W,,,,,,,,,,,,,,,,,,4.2013661447,0.9863822217,
RT,38,,W,,,,,,,,,,,,,,,,,,4.3554171497,0.9942898093,
RT,39,,W,,,,,,,,,,,,,,,,,,3.4544593875,0.7851947872,
RT,40,F,W,1,,,,,,,,,,,,,,,,,5.0207443507,1.1655111377,2
RT,41,,W,,,,,,,,,,,,,,,,,,4.3786226057,1.0564187189,
RT,42,M,W,1,,,,,,,,,,,,,,,,,4.1596527607,0.9174138035,2
RT,43,M,W,1,,,,,,,,,,,,,,,,,4.2562960837,0.9165713942,2
RT,44,,W,,,,,,,,,,,,,,,,,,4.6615514232,0.9583396985,
RT,45,,W,,,,,,,,,,,,,,,,,,4.6383416473,1.0482517643,
RT,46,F,W,1,,,,,,,,,,,,,,,,,4.2994189815,1.0000231481,2
RT,47,F,W,1,,,,,,,,,,,,,,,,,5.42305378,1.1664128639,1
RT,48,F,W,1,,,,,,,,,,,,,,,,,4.2765455049,1.072192413,2
RT,49,M,W,1,,,,,,,,,,,,,,,,,4.4894547913,0.9516701242,2
RT,50,F,W,1,,,,,,,,,,,,,,,,,4.7093770978,1.166824842,2
RT,51,,W,,,,,,,,,,,,,,,,,,4.5683351024,1.100725513,
RT,52,,W,,,,,,,,,,,,,,,,,,4.0641966388,0.9301531433,
RT,53,,W,,,,,,,,,,,,,,,,,,3.9532244898,0.9660816327,
RT,54,F,W,1,,,,,,,,,,,,,,,,,4.5457211639,1.0556213977,2
RT,55,F,W,1,,,,,,,,,,,,,,,,,4.1405798534,0.9448396818,2
RT,56,,W,,,,,,,,,,,,,,,,,,4.3515768863,0.9510267826,
RT,57,,W,,,,,,,,,,,,,,,,,,4.4661898148,1.1600555556,
RT,58,,W,,,,,,,,,,,,,,,,,,4.2237995338,1.0421701632,
RT,59,,W,,,,,,,,,,,,,,,,,,4.0818325225,0.9862318824,
RT,60,M,W,1,,,,,,,,,,,,,,,,,4.3268864165,0.9718406689,2
RT,61,,W,,,,,,,,,,,,,,,,,,4.2486480186,0.986013986,
RT,62,F,W,1,,,,,,,,,,,,,,,,,5.3011721083,1.2363034149,1
RT,63,,W,,,,,,,,,,,,,,,,,,3.2376937601,0.8321787371,
RT,64,,W,,,,,,,,,,,,,,,,,,3.5952028007,0.7554621692,
RT,65,,W,,,,,,,,,,,,,,,,,,3.9253263403,0.9580675991,
RT,66,,W,,,,,,,,,,,,,,,,,,3.8880962441,0.8239741784,
RT,67,,W,,,,,,,,,,,,,,,,,,4.4537485772,0.9478801676,
RT,68,,W,,,,,,,,,,,,,,,,,,4.6058648019,1.1086293706,
RT,69,,W,,,,,,,,,,,,,,,,,,4.0843827976,0.9538298307,
RT,70,,W,,,,,,,,,,,,,,,,,,4.1932116503,0.9795062182,
RT,71,,W,,,,,,,,,,,,,,,,,,4.0642313941,0.888804288,
RT,72,,W,,,,,,,,,,,,,,,,,,3.6006702494,0.7915515015,
RT,73,,W,,,,,,,,,,,,,,,,,,3.9419606481,0.9309699074,
RT,74,,W,,,,,,,,,,,,,,,,,,3.6826437048,0.8624290584,
RT,75,,W,,,,,,,,,,,,,,,,,,3.9926286548,1.0091961202,
SF2014,1,F,B,1,1.6,1.6,1.55,1.6,1.5,1.6,1.6,1.6,1.7,1.5,,,,,4.101,,5.4178366757,1.2714143201,1
SF2014,2,M,B,1,,,,,,,,,,,5.5,5,1.3,1.3,0.578,,3.9088428636,0.9357993005,2
SF2014,3,M,B,1,,,,,,,,,,,6.3,5.5,1.2,1.05,0.667,,4.2142928571,0.9142857143,2
SF2014,4,F,B,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,eggs disintigrated,3.9264233556,0.8571489794,2
SF2014,5,F,B,1,1.4,1.4,1.55,1.3,1.5,1.55,1.5,1.55,1.5,1.5,,,,,3.08,,4.1480770742,0.9928573299,2
SF2014,6,,B,,,,,,,,,,,,,,,,,,3.0688549618,0.7865928753,
SF2014,7,M,B,1,,,,,,,,,,,3.2,4,1.3,1.3,0.47,,3.7943339535,0.8369782346,2
SF2014,8,,B,,,,,,,,,,,,,,,,,,3.5425140765,0.9582730788,
SF2014,9,,B,,,,,,,,,,,,,,,,,,4.6609599926,1.1027867777,
SF2014,10,F,B,1,1.4,1.4,1.45,1.5,1.45,1.4,1.3,1.45,1.4,1.5,,,,,2.799,,4.7870115348,1.149112795,2
SF2014,11,,B,,,,,,,,,,,,,,,,,,4.2340615385,1.0391410256,
SF2014,12,M,B,1,,,,,,,,,,,6.7,5.7,1.2,1.3,1.217,,4.7884822898,1.1304881315,1
SF2014,13,,B,,,,,,,,,,,,,,,,,,4.360325641,0.9897564103,
SF2014,14,,B,,,,,,,,,,,,,,,,,,4.2778631043,0.9539570006,
SF2014,15,,B,,,,,,,,,,,,,,,,,,4.6856194923,1.0361595914,
SF2014,16,,B,,,,,,,,,,,,,,,,,,4.1542429767,0.9032282877,
SF2014,17,,B,,,,,,,,,,,,,,,,,,4.1443391751,0.9404648658,
SF2014,18,,B,,,,,,,,,,,,,,,,,,4.0379174626,0.919095909,
SF2014,19,,B,,,,,,,,,,,,,,,,,,4.4907090935,1.0769220907,
SF2014,20,,B,,,,,,,,,,,,,,,,,,3.8298860831,0.88861369,
SF2014,21,,B,,,,,,,,,,,,,,,,,,4.1406760222,0.9124908184,
SF2014,22,F,B,1,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.5,1.4,1.5,,,,,2.863,,4.6615246614,0.9833617387,2
SF2014,23,M,B,1,,,,,,,,,,,4.6,4,1.4,1.2,0.526,,3.8667981083,0.9109470239,2
SF2014,24,M,B,1,,,,,,,,,,,5.8,6.1,1.4,1.2,0.697,,4.1595119237,0.9301935024,2
SF2014,25,M,B,1,,,,,,,,,,,4.3,4.9,1.3,1.3,0.616,,3.9965465612,0.9026909647,2
SF2014,26,,B,,,,,,,,,,,,,,,,,,4.1422589744,0.9200102564,
SF2014,27,F,B,1,1.4,1.1,1.2,1.5,1.3,1.4,1.3,1.4,1.3,1.45,,,,,2.613,,4.1914097433,1.0257176802,2
SF2014,28,F,B,1,1.3,1.25,1.4,1.5,1.4,1.4,1.4,1.5,1.4,1.5,,,,,2.886,,4.5850412174,1.1025627877,2
SF2014,29,M,B,1,,,,,,,,,,,5.1,6.2,1.2,1.3,0.622,,4.2176222421,0.9954461228,2
SF2014,30,F,B,1,1.4,1.3,1.4,1.3,1.3,1.5,1.3,1.5,1.3,NA,,,,,2.447,x9,4.1428102564,0.9795,2
SF2014,31,,B,,,,,,,,,,,,,,,,,,4.2542724965,0.9639592273,
SF2014,32,F,B,1,1.2,1.3,1.2,1,1,1,1.1,1.2,1,1.1,,,,,1.575,,4.2937819671,0.9595107205,2
SF2014,33,M,B,1,,,,,,,,,,,4.8,NA,1.4,NA,0.69,torn,4.2007994441,0.964391661,2
SF2014,34,,B,,,,,,,,,,,,,,,,,,4.2010686041,0.9612476004,
SF2014,35,,B,,,,,,,,,,,,,,,,,,4.2801375342,1.087305006,
SF2014,36,,B,,,,,,,,,,,,,,,,,,4.7040737755,1.1087356464,
SF2014,36A,,B,,,,,,,,,,,,,,,,,,3.6007097218,0.9002671713,
SF2014,37,,B,,,,,,,,,,,,,,,,,,3.5518098794,0.7670227297,
SF2014,38,,B,,,,,,,,,,,,,,,,,,4.8159218082,1.0884040398,
SF2014,39,,B,,,,,,,,,,,,,,,,,,4.3985500453,0.9531264648,
SF2014,40,,B,,,,,,,,,,,,,,,,,,4.4873414778,1.0165369549,
SF2014,41,,B,,,,,,,,,,,,,,,,,,4.2709748428,1,
SF2014,42,,B,,,,,,,,,,,,,,,,,,4.1134470284,0.8455297158,
SF2014,43,,B,,,,,,,,,,,,,,,,,,3.935678997,0.9458337209,
SF2014,44,,B,,,,,,,,,,,,,,,,,,4.1329338625,0.9849539549,
SF2014,45,,B,,,,,,,,,,,,,,,,,,4.7608631749,1.0709478967,
SF2014,46,,B,,,,,,,,,,,,,,,,,,4.0967636893,1.0154687548,
SF2014,47,,B,,,,,,,,,,,,,,,,,,4.2086007669,0.9307204945,
SF2014,48,,B,,,,,,,,,,,,,,,,,,4.4646302083,1.0036848958,
SF2014,49,,B,,,,,,,,,,,,,,,,,,4.4267333333,1.024925641,
SF2014,50,,B,,,,,,,,,,,,,,,,,,4.6478686202,1.0619403354,
SF2014,51,,B,,,,,,,,,,,,,,,,,,4.1467390747,0.9693240208,
SF2014,52,,B,,,,,,,,,,,,,,,,,,4.2143139185,0.984615858,
SF2014,53,,B,,,,,,,,,,,,,,,,,,4.3249207717,1.0330605212,
SF2014,54,,B,,,,,,,,,,,,,,,,,,4.5225511863,0.9846197628,
SF2014,55,,B,,,,,,,,,,,,,,,,,,4.5757156108,1.0233950916,
SF2014,56,,B,,,,,,,,,,,,,,,,,,4.8004780362,1.1162790698,
SF2014,57,,B,,,,,,,,,,,,,,,,,,4.2527402949,0.9998513217,
SF2014,58,M,B,1,,,,,,,,,,,5.8,4.9,1.6,1.4,0.849,,4.9923436693,1.1944263566,1
SF2014,59,,B,,,,,,,,,,,,,,,,,,4.0200994276,0.8453305362,
SF2014,60,,B,,,,,,,,,,,,,,,,,,4.0482705833,0.8926578716,
SF2014,61,,B,,,,,,,,,,,,,,,,,,3.6779268308,0.8764139637,
SF2014,62,,B,,,,,,,,,,,,,,,,,,3.9751013407,0.8802423459,
SF2014,63,,B,,,,,,,,,,,,,,,,,,3.955225641,0.9225076923,
